#	imageID	Label	Probability
1	n03000684	chain_saw	35.3739440441%
2	n04399382	teddy	21.9096630812%
3	n04389033	tank	14.0358299017%
4	n04485082	tripod	4.25136946142%
5	n02841315	binoculars	2.5044189766%
6	n03995372	power_drill	2.23678853363%
7	n03126707	crane	1.50117762387%
8	n03481172	hammer	1.28000825644%
9	n03384352	forklift	0.892542675138%
10	n03530642	honeycomb	0.69838874042%
11	n04069434	reflex_camera	0.579087622464%
12	n04141327	scabbard	0.522002298385%
13	n03649909	lawn_mower	0.484893424436%
14	n03666591	lighter	0.454997457564%
15	n02895154	breastplate	0.443756347522%
16	n02951585	can_opener	0.442547211424%
17	n04599235	wool	0.399677734822%
18	n03908714	pencil_sharpener	0.387179479003%
19	n04009552	projector	0.371477706358%
20	n04179913	sewing_machine	0.354728405364%
21	n02950826	cannon	0.35319654271%
22	n04153751	screw	0.332215987146%
23	n03297495	espresso_maker	0.327953137457%
24	n03967562	plow	0.282018259168%
25	n03584829	iron	0.256599509157%
26	n04372370	switch	0.253639183939%
27	n03445924	golfcart	0.244282092899%
28	n03791053	motor_scooter	0.239795655943%
29	n03697007	lumbermill	0.221934448928%
30	n03874599	padlock	0.219456711784%
31	n07920052	espresso	0.212324107997%
32	n03532672	hook	0.210671103559%
33	n04008634	projectile	0.204130541533%
34	n03496892	harvester	0.201464793645%
35	n03249569	drum	0.20141475834%
36	n03478589	half_track	0.200200616382%
37	n03709823	mailbag	0.176482601091%
38	n04141975	scale	0.168231851421%
39	n02966687	carpenter's_kit	0.166327948682%
40	n03146219	cuirass	0.161653966643%
41	n04090263	rifle	0.147814140655%
42	n04252225	snowplow	0.13644451974%
43	n03527444	holster	0.119985383935%
44	n07802026	hay	0.119894684758%
45	n03623198	knee_pad	0.118839577772%
46	n03000247	chain_mail	0.118315045256%
47	n03208938	disk_brake	0.117894809227%
48	n03482405	hamper	0.110758468509%
49	n04482393	tricycle	0.110023119487%
50	n04428191	thresher	0.10542931268%
51	n03544143	hourglass	0.104698329233%
52	n03498962	hatchet	0.0992609071545%
53	n02879718	bow	0.0990521162748%
54	n07836838	chocolate_sauce	0.0914455275051%
55	n03424325	gasmask	0.089711882174%
56	n03602883	joystick	0.0807128264569%
57	n07892512	red_wine	0.076180009637%
58	n03127747	crash_helmet	0.0759825110435%
59	n02704792	amphibian	0.0748449005187%
60	n04040759	radiator	0.0732049637008%
61	n03124043	cowboy_boot	0.0704966660123%
62	n02749479	assault_rifle	0.0688259548042%
63	n04465501	tractor	0.0682021258399%
64	n03786901	mortar	0.0664913095534%
65	n03594945	jeep	0.0657604832668%
66	n02916936	bulletproof_vest	0.0622762774583%
67	n04067472	reel	0.0617204641458%
68	n01986214	hermit_crab	0.0608040951192%
69	n04286575	spotlight	0.0584745605011%
70	n12267677	acorn	0.0576085294597%
71	n03109150	corkscrew	0.0536933890544%
72	n01704323	triceratops	0.052992941346%
73	n07930864	cup	0.0528770615347%
74	n03785016	moped	0.0514894258231%
